0,instanceID,starttime,13343416587.154036
0,instanceID,starttime,13343416587.162165
0,instanceID,starttime,13343416587.172840
0,instanceID,starttime,13343416587.183205
0,instanceID,starttime,13343416587.194920
0,instanceID,starttime,13343416587.203548
0,instanceID,starttime,13343416587.209961
0,instanceID,starttime,13343416587.216566
0,instanceID,starttime,13343648390.091593
0,instanceID,starttime,13343648390.137327
0,instanceID,starttime,13343648390.159323
0,instanceID,starttime,13343648390.166578
0,instanceID,starttime,13343648390.176588
0,instanceID,starttime,13343648390.186480
0,instanceID,starttime,13343648390.208670
0,instanceID,starttime,13343648390.217196
0,instanceID,starttime,13343648390.223228
0,instanceID,starttime,13343648390.229523
